date,high,low,opening_price,closing_price,volume
11-04-12 0:00,7.7,7.4,7.5,7.5,700000
10-04-12 0:00,7.6,7.3,7.6,7.4,158500
09-04-12 0:00,7.5,7.3,7.5,7.3,115500
08-04-12 0:00,7.6,7.4,7.5,7.5,192000
05-04-12 0:00,7.7,7.3,7.5,7.5,253000
04-04-12 0:00,7.7,7.4,7.6,7.5,99500
03-04-12 0:00,7.8,7.6,7.6,7.6,168500
02-04-12 0:00,8,7.7,8,7.8,270000
01-04-12 0:00,7.9,7.6,7.8,7.8,519000
29-03-12 0:00,7.9,7.4,7.5,7.6,715000
28-03-12 0:00,7.5,7.3,7.3,7.3,452000
27-03-12 0:00,7.4,7.1,7.1,7.3,170000
25-03-12 0:00,7.4,7.2,7.3,7.2,153000
22-03-12 0:00,7.3,7.1,7.2,7.2,65000
21-03-12 0:00,7.3,7.2,7.2,7.2,174500
20-03-12 0:00,7.3,7.1,7.1,7.2,106000
19-03-12 0:00,7.3,7.1,7.1,7.1,182000
18-03-12 0:00,7.4,7.1,7.3,7.1,283500
15-03-12 0:00,7.3,7.1,7.1,7.1,47000
14-03-12 0:00,7.3,7.1,7.2,7.1,130500
13-03-12 0:00,7.3,7.1,7.1,7.3,183500
12-03-12 0:00,7.1,7,7.1,7,16500
11-03-12 0:00,7.2,7,7.1,7,79500
